start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695704100,1695704340,2023-09-26 04:55:00+00:00,2023-09-26 04:59:00+00:00,26330.35,26338.61,26330.34,26340.94,10.978775
1695704400,1695704640,2023-09-26 05:00:00+00:00,2023-09-26 05:04:00+00:00,26338.61,26339.96,26338.59,26346.1,8.218257
1695704700,1695704940,2023-09-26 05:05:00+00:00,2023-09-26 05:09:00+00:00,26339.96,26342.57,26336.09,26346.42,9.486529
1695705000,1695705240,2023-09-26 05:10:00+00:00,2023-09-26 05:14:00+00:00,26342.56,26344.95,26342.55,26345.0,6.213392
1695705300,1695705540,2023-09-26 05:15:00+00:00,2023-09-26 05:19:00+00:00,26344.95,26331.17,26327.62,26344.95,12.117417
1695705600,1695705840,2023-09-26 05:20:00+00:00,2023-09-26 05:24:00+00:00,26331.16,26343.07,26328.92,26347.27,17.132324
1695705900,1695706140,2023-09-26 05:25:00+00:00,2023-09-26 05:29:00+00:00,26343.07,26330.72,26328.82,26345.19,8.121662
1695706200,1695706440,2023-09-26 05:30:00+00:00,2023-09-26 05:34:00+00:00,26330.72,26329.61,26322.27,26333.33,5.855643
1695706500,1695706740,2023-09-26 05:35:00+00:00,2023-09-26 05:39:00+00:00,26330.47,26320.11,26313.43,26330.74,10.892318
1695706800,1695707040,2023-09-26 05:40:00+00:00,2023-09-26 05:44:00+00:00,26320.11,26332.54,26316.51,26334.65,10.220469
1695707100,1695707340,2023-09-26 05:45:00+00:00,2023-09-26 05:49:00+00:00,26332.52,26311.6,26311.27,26333.21,4.946136
1695707400,1695707640,2023-09-26 05:50:00+00:00,2023-09-26 05:54:00+00:00,26311.59,26304.29,26301.07,26314.77,4.957692
1695707700,1695707940,2023-09-26 05:55:00+00:00,2023-09-26 05:59:00+00:00,26304.28,26316.78,26304.28,26319.27,7.46038
1695708000,1695708240,2023-09-26 06:00:00+00:00,2023-09-26 06:04:00+00:00,26316.78,26319.36,26302.71,26320.73,12.318673
1695708300,1695708540,2023-09-26 06:05:00+00:00,2023-09-26 06:09:00+00:00,26319.26,26319.5,26318.88,26326.37,9.718389
1695708600,1695708840,2023-09-26 06:10:00+00:00,2023-09-26 06:14:00+00:00,26319.5,26305.94,26304.26,26337.61,10.543806
1695708900,1695709140,2023-09-26 06:15:00+00:00,2023-09-26 06:19:00+00:00,26305.94,26305.85,26300.96,26310.49,8.667036
1695709200,1695709440,2023-09-26 06:20:00+00:00,2023-09-26 06:24:00+00:00,26304.02,26286.46,26285.38,26306.13,15.087817
1695709500,1695709740,2023-09-26 06:25:00+00:00,2023-09-26 06:29:00+00:00,26287.6,26288.21,26285.39,26295.9,7.083081
1695709800,1695710040,2023-09-26 06:30:00+00:00,2023-09-26 06:34:00+00:00,26288.2,26283.06,26280.08,26294.67,6.769503
1695710100,1695710340,2023-09-26 06:35:00+00:00,2023-09-26 06:39:00+00:00,26283.05,26270.52,26270.52,26283.05,6.453984
1695710400,1695710640,2023-09-26 06:40:00+00:00,2023-09-26 06:44:00+00:00,26270.33,26285.54,26266.6,26285.54,11.781343
1695710700,1695710940,2023-09-26 06:45:00+00:00,2023-09-26 06:49:00+00:00,26285.36,26268.83,26266.29,26289.13,21.080893
1695711000,1695711240,2023-09-26 06:50:00+00:00,2023-09-26 06:54:00+00:00,26268.83,26279.15,26264.74,26281.71,14.391615
1695711300,1695711540,2023-09-26 06:55:00+00:00,2023-09-26 06:59:00+00:00,26279.15,26288.1,26276.95,26289.57,9.010073
1695711600,1695711840,2023-09-26 07:00:00+00:00,2023-09-26 07:04:00+00:00,26288.1,26267.81,26267.77,26288.1,8.733382
1695711900,1695712140,2023-09-26 07:05:00+00:00,2023-09-26 07:09:00+00:00,26267.8,26277.35,26266.69,26280.61,11.768906
1695712200,1695712440,2023-09-26 07:10:00+00:00,2023-09-26 07:14:00+00:00,26277.34,26270.69,26267.27,26278.99,12.739414
1695712500,1695712740,2023-09-26 07:15:00+00:00,2023-09-26 07:19:00+00:00,26270.68,26284.1,26265.63,26287.94,11.546784
1695712800,1695713040,2023-09-26 07:20:00+00:00,2023-09-26 07:24:00+00:00,26284.08,26272.77,26266.33,26284.08,5.841135
1695713100,1695713340,2023-09-26 07:25:00+00:00,2023-09-26 07:29:00+00:00,26272.77,26271.01,26270.99,26283.3,6.181837
